OID,GID,County,March11,March12,March14,March15,March16,March17,March18,March19,March20,March21,March22,March23,NewCases,Shape_Leng,Shape_Area,March24
145,126,Brown,0,0,0,0,0,0,0,0,0,1,1,1,1,255511.925,3439692397.0,2
146,127,Coke,0,0,0,0,0,0,0,0,0,0,0,0,0,233140.1792,3345365179.0,0
147,128,Culberson,0,0,0,0,0,0,0,0,0,0,0,0,0,499818.2034,13615721624.0,0
148,129,Sterling,0,0,0,0,0,0,0,0,0,0,0,0,0,237724.7232,3321781855.0,0
149,130,Glasscock,0,0,0,0,0,0,0,0,0,0,0,0,0,227893.187,3244860837.0,0
150,131,Midland,0,0,0,0,0,0,0,0,0,1,1,1,0,228046.5326,3249060689.0,1
151,132,Ector,0,0,0,0,0,0,0,0,0,0,0,0,0,228143.5505,3253686980.0,0
152,133,Shelby,0,0,0,0,0,0,0,0,0,0,0,0,0,315518.6162,3000701914.0,0
153,134,Winkler,0,0,0,0,0,0,0,0,0,0,0,0,0,231838.2343,3025285053.0,0
154,135,Hudspeth,0,0,0,0,0,0,0,0,0,0,0,0,0,607448.6825,16319382424.0,0
155,136,Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,438875.9708,3878932779.0,0
156,137,El Paso,0,0,1,1,1,3,3,3,3,8,6,6,1,292823.9536,3646296134.0,7
157,138,Bosque,0,0,0,0,0,0,0,0,0,0,0,0,0,304758.5928,3613122997.0,0
158,139,Cherokee,0,0,0,0,0,0,0,0,0,0,0,0,0,436207.0907,3823144031.0,0
159,140,Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0,251107.4064,3437003049.0,0
160,141,Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,306647.8744,3560834160.0,0
161,142,Somervell,0,0,0,0,0,0,0,0,0,0,0,0,0,108518.0031,695392480.6,0
162,143,Navarro,0,0,0,0,0,0,0,0,0,0,0,0,0,294835.8453,3926523490.0,0
163,144,Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,365708.4578,3442720582.0,0
164,145,Callahan,0,0,0,0,0,0,0,0,0,0,0,0,0,228878.7009,3274602487.0,0
165,146,Rusk,0,0,0,0,0,0,1,1,1,1,1,1,1,295930.7207,3400469936.0,2
166,147,Eastland,0,0,0,0,0,0,0,0,0,0,0,0,2,236298.8451,3383610249.0,2
167,148,Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,231664.6232,3342056463.0,0
168,149,Erath,0,0,0,0,0,0,0,0,0,0,0,0,1,255925.9861,3948259109.0,1
169,150,Nolan,0,0,0,0,0,0,0,0,0,0,0,0,0,230526.5128,3324261362.0,0
170,151,Panola,0,0,0,0,0,0,0,0,0,0,0,0,0,248045.1266,2975528270.0,0
171,152,Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,231091.9496,3333490492.0,0
172,153,Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,229377.5609,3287931082.0,0
173,154,Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,230737.7406,3329487704.0,0
174,178,Rockwall,0,0,0,0,0,0,0,0,0,0,0,0,0,93641.18776,547404623.2,0
175,179,Rains,0,0,0,0,0,0,0,0,0,0,0,0,0,162255.2533,950609227.0,0
176,180,Wood,0,0,0,0,0,0,0,0,0,0,0,0,0,266075.813,2555659112.0,0
177,181,Camp,0,0,0,0,0,0,0,0,0,0,0,0,0,168997.701,750370973.8,0
178,182,Stonewall,0,0,0,0,0,0,0,0,0,0,0,0,0,234698.2589,3438723337.0,0
179,183,Haskell,0,0,0,0,0,0,0,0,0,0,0,0,0,232484.1559,3374618599.0,0
180,184,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,229644.4523,3302304112.0,0
181,185,Throckmorton,0,0,0,0,0,0,0,0,0,0,0,0,0,233059.0712,3393487326.0,0
182,186,Garza,0,0,0,0,0,0,0,0,0,0,0,0,0,230001.49899999998,3322801519.0,0
183,187,Lynn,0,0,0,0,0,0,0,0,0,0,0,0,0,230252.5408,3310429688.0,0
184,188,Young,0,0,0,0,0,0,0,0,0,0,0,0,0,235318.4007,3450025360.0,0
185,209,Hockley,0,0,0,0,0,0,0,0,1,2,2,3,0,233430.883,3403160795.0,3
186,210,Cochran,0,0,0,0,0,0,0,0,0,0,0,0,0,216345.9131,2903312075.0,0
187,211,Fannin,0,0,0,0,0,0,0,0,1,1,1,1,0,279123.1839,3365907545.0,1
188,212,Cooke,0,0,0,0,0,0,0,0,0,0,0,0,0,353003.5868,3354982080.0,0
189,213,Grayson,0,0,0,0,0,0,0,0,0,0,0,0,1,291834.5419,3667681230.0,1
190,214,Montague,0,0,0,0,0,0,0,0,0,0,0,0,0,258606.2717,3508767850.0,0
191,215,Lamar,0,0,0,0,0,0,0,0,0,0,0,0,1,336755.1164,3501977518.0,1
192,216,Red River,0,0,0,0,0,0,0,0,0,0,0,0,0,437694.0888,3961012685.0,0
193,217,Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,296319.7476,4173646442.0,0
194,218,Wichita,0,0,0,0,0,0,0,0,1,1,3,0,5,223210.0648,2335792074.0,5
195,219,Foard,0,0,0,0,0,0,0,0,0,0,0,0,0,284407.3744,2659839698.0,0
196,220,Cottle,0,0,0,0,0,0,0,0,0,0,0,0,0,247817.0779,3411354065.0,0
197,221,Motley,0,0,0,0,0,0,0,0,0,0,0,0,0,245128.6456,3746055370.0,0
198,222,Floyd,0,0,0,0,0,0,0,0,0,0,0,0,0,245576.6645,3756650392.0,0
199,223,Hale,0,0,0,0,0,0,0,0,0,0,0,0,0,247074.0988,3801960823.0,0
200,224,Lamb,0,0,0,0,0,0,0,0,0,0,0,0,0,248607.0915,3851566015.0,0
201,225,Bailey,0,0,0,0,0,0,0,0,0,0,0,0,0,226910.7241,3131541692.0,0
202,226,Wilbarger,0,0,0,0,0,0,0,0,0,0,0,0,0,310644.2049,3699220736.0,0
203,227,Hardeman,0,0,0,0,0,0,0,0,0,0,0,0,0,235488.4011,2649489903.0,0
204,189,Terry,0,0,0,0,0,0,0,0,0,0,0,0,0,229751.9069,3301207158.0,0
205,190,Yoakum,0,0,0,0,0,0,0,0,0,0,0,0,0,218057.8745,2966319208.0,0
206,191,Collin,3,3,5,6,6,6,6,7,12,13,21,24,14,233365.0243,3286101863.0,38
207,192,Denton,0,0,0,0,0,1,4,4,6,9,12,12,18,237983.8939,3530307974.0,30
208,193,Wise,0,0,0,0,0,0,0,0,0,0,0,0,0,234100.1955,3423302127.0,0
209,194,Hopkins,0,0,0,0,0,0,0,0,0,0,0,0,1,280000.4463,2939273129.0,1
210,195,Morris,0,0,0,0,0,0,0,0,0,0,0,0,1,194773.7214,954210346.6,1
211,196,Hunt,0,0,0,0,0,0,0,0,0,0,0,0,1,251179.7771,3266818743.0,1
212,197,Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,179594.9887,1093207850.0,0
213,199,Titus,0,0,0,0,0,0,0,0,0,0,0,0,0,250386.0049,1583638394.0,0
214,200,Delta,0,0,0,0,0,0,0,0,0,0,0,0,0,282718.5764,1035238887.0,0
215,201,Bowie,0,0,0,0,0,0,1,1,1,1,1,1,0,496839.7255,3441545711.0,1
216,202,Knox,0,0,0,0,0,0,0,0,0,0,0,0,0,261968.0613,3202874365.0,0
217,203,King,0,0,0,0,0,0,0,0,0,0,0,0,0,234046.7967,3421212660.0,0
218,204,Dickens,0,0,0,0,0,0,0,0,0,0,0,0,0,233108.8003,3395903567.0,0
219,205,Baylor,0,0,0,0,0,0,0,0,0,0,0,0,0,232360.1633,3373170730.0,0
220,206,Crosby,0,0,0,0,0,0,0,0,0,0,0,0,0,232360.0945,3374743326.0,0
221,207,Lubbock,0,0,0,0,0,0,0,0,1,2,2,2,9,232394.43399999998,3371806283.0,11
222,208,Archer,0,0,0,0,0,0,0,0,0,0,0,0,0,235507.1302,3465512593.0,0
223,176,Tarrant,1,1,3,3,3,3,5,5,5,8,8,9,48,230694.5768,3320358527.0,57
224,177,Dallas,2,2,8,8,8,9,15,20,22,29,30,33,98,230873.4336,3336760771.0,131
225,241,Carson,0,0,0,0,0,0,0,0,0,0,0,0,0,240247.5519,3611034701.0,0
226,242,Potter,0,0,0,0,0,0,0,0,0,2,2,2,0,240101.3508,3601822132.0,2
227,243,Oldham,0,0,0,0,0,0,0,0,0,1,1,1,0,315944.4545,5865816133.0,1
228,244,Hemphill,0,0,0,0,0,0,0,0,0,0,0,0,0,240039.6158,3601831830.0,0
229,245,Roberts,0,0,0,0,0,0,0,0,0,0,0,0,0,241322.0536,3647068212.0,0
230,246,Hutchinson,0,0,0,0,0,0,0,0,0,0,0,0,0,237855.2698,3534642161.0,0
231,247,Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,239678.7052,3591983657.0,0
232,248,Hartley,0,0,0,0,0,0,0,0,0,0,0,0,0,313709.4325,5778071108.0,0
233,228,Childress,0,0,0,0,0,0,0,0,0,0,0,0,0,210914.2999,2730528734.0,0
234,229,Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,235238.1991,3459169119.0,0
